id,code,name
107,00177,"['消费', '心理学', '消费心理学']"
108,00065,"['国民经济', '统计', '概论', '国民经济统计概论']"
109,00058,"['市场', '营销学', '市场营销学']"
110,00178,"['市场', '调查', '预测', '市场调查与预测']"
111,00043,"['经济法', '概论', '财经类', '经济法概论(财经类)']"
112,00179,"['谈判', '推销', '技巧', '谈判与推销技巧']"
113,00144,"['企业', '管理', '概论', '企业管理概论']"
114,00102,"['世界市场', '行情', '世界市场行情']"
115,00181,"['广告学', '广告学(一)']"
116,00018,"['计算机', '应用', '基础', '计算机应用基础']"
117,00019,"['计算机', '应用', '基础', '实践', '计算机应用基础（实践）']"
118,00040,"['法学', '概论', '法学概论']"
119,03706,"['思想', '道德修养', '法律', '基础', '思想道德修养与法律基础']"
120,12656,"['毛泽东思想', '中国', '特色', '社会主义', '理论体系', '概论', '毛泽东思想和中国特色社会主义理论体系概论']"
121,00888,"['电子商务', '英语', '电子商务英语']"
122,00889,"['经济学', '经济学(二)']"
123,00041,"['基础', '会计学', '基础会计学']"
124,00890,"['市场营销', '市场营销(三)']"
125,00891,"['国际贸易', '实务', '国际贸易实务(三)']"
126,00892,"['商务', '交流', '商务交流(二)']"
127,00893,"['市场', '信息学', '市场信息学']"
128,00894,"['计算机', '网络', '技术', '基础', '计算机与网络技术基础']"
129,00895,"['计算机', '网络', '技术', '基础', '实践', '计算机与网络技术基础（实践）']"
130,00896,"['电子商务', '概论', '电子商务概论']"
131,00897,"['电子商务', '概论', '实践', '电子商务概论（实践）']"
132,00898,"['互联网', '软件应用', '开发', '互联网软件应用与开发']"
133,00899,"['互联网', '软件应用', '开发', '实践', '互联网软件应用与开发（实践）']"
134,00900,"['网页', '设计', '制作', '网页设计与制作']"
135,00901,"['网页', '设计', '制作', '实践', '网页设计与制作（实践）']"
136,00902,"['电子商务', '案例', '分析', '电子商务案例分析']"
137,00903,"['电子商务', '案例', '分析', '实践', '电子商务案例分析（实践）']"
138,00904,"['综合', '作业', '综合作业']"
139,05679,"['宪法学', '宪法学']"
140,03706,"['思想', '道德修养', '法律', '基础', '思想道德修养与法律基础']"
141,12656,"['毛泽东思想', '中国', '特色', '社会主义', '理论体系', '概论', '毛泽东思想和中国特色社会主义理论体系概论']"
142,00018,"['计算机', '应用', '基础', '计算机应用基础']"
143,00019,"['计算机', '应用', '基础', '实践', '计算机应用基础（实践）']"
144,05363,"['物流', '基础', '物流基础']"
145,05365,"['物流', '信息技术', '物流信息技术']"
146,05366,"['物流', '信息技术', '实践', '物流信息技术（实践）']"
147,05367,"['物流', '案例', '实践', '物流案例与实践(一)']"
148,05368,"['库存', '管理', '库存管理(一)']"
149,05369,"['采购', '供应', '管理', '采购与供应管理(一)']"
150,05370,"['运输', '管理', '运输管理(一)']"
151,05371,"['仓储', '管理', '仓储管理(一)']"
152,00012,"['英语', '英语（一）']"
153,05361,"['物流', '数学', '物流数学']"
154,05362,"['物流', '英语', '物流英语']"
155,05364,"['物流', '企业会计', '物流企业会计']"
156,05372,"['国际', '物流', '导论', '国际物流导论']"
157,00020,"['高等数学', '高等数学（一）']"
158,00041,"['基础', '会计学', '基础会计学']"
159,00089,"['国际贸易', '国际贸易']"
160,00144,"['企业', '管理', '概论', '企业管理概论']"
161,00182,"['公共关系', '公共关系学']"
162,03706,"['思想', '道德修养', '法律', '基础', '思想道德修养与法律基础']"
163,12656,"['毛泽东思想', '中国', '特色', '社会主义', '理论体系', '概论', '毛泽东思想和中国特色社会主义理论体系概论']"
164,00172,"['房地产', '经营', '管理', '房地产经营管理']"
165,07489,"['应用', '写作', '应用写作']"
166,00182,"['公共关系', '公共关系学']"
167,07482,"['物业管理', '概论', '物业管理概论']"
168,07481,"['管理学', '基础', '管理学基础']"
169,05565,"['物业管理', '法规', '物业管理法规']"
170,04363,"['物业管理', '实务', '物业管理实务(一)']"
171,04364,"['物业管理', '实务', '物业管理实务(二)']"
172,04365,"['物业管理', '财务', '基础', '物业管理财务基础']"
173,00018,"['计算机', '应用', '基础', '计算机应用基础']"
